price,latitude,longitude,id,price_prediction,price_difference,price_difference_percent
734000.0,47.7221,-122.352,2916200091,506637.54,-227362.46,-30.98
230000.0,47.4977,-122.175,424000145,213055.72,-16944.28,-7.37
570000.0,47.6205,-122.3,9828702335,529797.55,-40202.45,-7.05
343000.0,47.5454,-122.192,3343300644,488885.97,145885.97,42.53
205000.0,47.2623,-122.217,4137010310,167291.18,-37708.82,-18.39
460000.0,47.587,-122.301,2394600157,513825.4,53825.4,11.7
228900.0,47.4789,-122.335,4337000200,313606.97,84706.97,37.01
589410.0,47.5165,-121.883,7853400220,579514.83,-9895.17,-1.68
659000.0,47.583,-122.17,924059233,684642.08,25642.08,3.89
675000.0,47.5699,-122.164,1524059027,621496.12,-53503.88,-7.93
834950.0,47.6237,-122.023,2862500060,729686.48,-105263.52,-12.61
682000.0,47.7066,-122.08,7273100026,587416.79,-94583.21,-13.87
235000.0,47.5351,-122.279,3904100035,365904.42,130904.42,55.7
1810000.0,47.6534,-122.412,5035300325,853472.92,-956527.08,-52.85
299950.0,47.5311,-122.373,3624039073,298685.27,-1264.73,-0.42
445000.0,47.5082,-122.362,8151600900,470530.35,25530.35,5.74
799950.0,47.7189,-122.225,1926059039,860216.72,60266.72,7.53
630000.0,47.3783,-122.003,2322069168,563400.78,-66599.22,-10.57
255000.0,47.3356,-122.502,5341600030,-37055.59,-292055.59,-114.53
299950.0,47.7746,-122.378,226039186,200158.13,-99791.87,-33.27
315000.0,47.5305,-122.353,2113700360,769607.0,454607.0,144.32
725000.0,47.6816,-122.374,461002150,568818.83,-156181.17,-21.54
520000.0,47.5445,-122.383,5637500180,463911.68,-56088.32,-10.79
1210000.0,47.6889,-122.352,6430500182,736539.87,-473460.13,-39.13
295000.0,47.5677,-122.36,7547300050,353234.45,58234.45,19.74
518000.0,47.6124,-122.314,2254501342,438988.07,-79011.93,-15.25
949950.0,47.5872,-122.055,6790830060,1099760.37,149810.37,15.77
509000.0,47.7086,-122.019,8682282180,430915.7,-78084.3,-15.34
430000.0,47.7233,-122.167,6386200100,478994.01,48994.01,11.39
870000.0,47.6748,-122.049,925069134,565575.59,-304424.41,-34.99
253779.0,47.4459,-122.272,5381600110,260401.9,6622.9,2.61
1070000.0,47.5027,-122.381,6329000070,865700.3,-204299.7,-19.09
457500.0,47.5549,-122.311,7549800168,585464.93,127964.93,27.97
433000.0,47.5728,-122.125,4246000180,484531.18,51531.18,11.9
864000.0,47.6753,-122.278,3179101945,712462.9,-151537.1,-17.54
525000.0,47.4928,-122.142,2316800100,738733.07,213733.07,40.71
469950.0,47.3588,-122.163,5057100080,593148.0,123198.0,26.22
199000.0,47.4994,-122.261,3352401981,416338.05,217338.05,109.22
672500.0,47.6876,-122.384,6021501920,525164.74,-147335.26,-21.91
648000.0,47.5833,-122.028,2553300030,690174.79,42174.79,6.51
610000.0,47.4602,-122.152,8914100170,941304.06,331304.06,54.31
185000.0,47.4883,-122.248,7878400043,300906.97,115906.97,62.65
287000.0,47.4839,-122.302,6082400191,440360.03,153360.03,53.44
600000.0,47.7369,-122.049,1626069069,611366.83,11366.83,1.89
500000.0,47.5616,-122.275,5249802460,456529.35,-43470.65,-8.69
650000.0,47.6298,-122.321,6762700376,571604.98,-78395.02,-12.06
221347.0,47.4927,-122.248,7812801785,237427.86,16080.86,7.27
960000.0,47.5328,-122.226,3629200020,876098.59,-83901.41,-8.74
700500.0,47.7354,-122.095,1137300890,733938.21,33438.21,4.77
400000.0,47.7655,-122.244,126049217,373818.15,-26181.85,-6.55
354000.0,47.3663,-122.129,4299000030,497861.64,143861.64,40.64
610000.0,47.6536,-122.354,1972200555,513249.26,-96750.74,-15.86
319000.0,47.4516,-122.267,8125200481,489922.89,170922.89,53.58
410000.0,47.5411,-122.392,4315700390,360597.16,-49402.84,-12.05
285000.0,47.2874,-122.283,1687000220,259992.73,-25007.27,-8.77
374500.0,47.7289,-122.203,8143000490,460926.01,86426.01,23.08
325000.0,47.2924,-122.357,1895450230,219785.67,-105214.33,-32.37
799000.0,47.709,-122.118,6891100330,867141.52,68141.52,8.53
800000.0,47.6678,-122.361,475000605,802289.22,2289.22,0.29
385100.0,47.7121,-122.287,3992700265,342902.06,-42197.94,-10.96
740000.0,47.723,-122.158,2621730220,980145.41,240145.41,32.45
250000.0,47.7182,-121.956,2129700320,403495.35,153495.35,61.4
700000.0,47.3879,-122.002,1465400120,499278.62,-200721.38,-28.67
319000.0,47.3555,-122.149,6648500440,431076.33,112076.33,35.13
665000.0,47.577,-122.055,6705870040,654345.18,-10654.82,-1.6
200000.0,47.5604,-122.275,4154302075,362164.38,162164.38,81.08
1280000.0,47.6845,-122.359,1646502355,791843.74,-488156.26,-38.14
540000.0,47.719,-121.912,2126079014,439051.9,-100948.1,-18.69
199950.0,47.4934,-122.237,7657600195,249266.43,49316.43,24.66
200000.0,47.3425,-122.082,621069113,120434.74,-79565.26,-39.78
510000.0,47.6939,-122.34,993000046,432913.14,-77086.86,-15.12
414500.0,47.6756,-122.375,2767600688,432882.61,18382.61,4.43
497000.0,47.6765,-122.302,7169200221,533953.37,36953.37,7.44
370000.0,47.543,-122.29,3333002385,715935.36,345935.36,93.5
320000.0,47.4756,-122.157,5127000430,394427.13,74427.13,23.26
1600000.0,47.6349,-122.318,1130000005,1140243.64,-459756.36,-28.73
1420000.0,47.7124,-122.253,4055700378,1317755.27,-102244.73,-7.2
850000.0,47.6378,-122.372,2771601940,774733.31,-75266.69,-8.85
745000.0,47.4816,-121.701,1823099056,569222.58,-175777.42,-23.59
315000.0,47.7652,-122.31,3972900195,287847.7,-27152.3,-8.62
635000.0,47.5655,-122.27,5249803550,623204.85,-11795.15,-1.86
240000.0,47.5151,-122.366,123039333,326118.03,86118.03,35.88
560000.0,47.6948,-122.322,5102400035,527000.82,-32999.18,-5.89
315000.0,47.5014,-122.226,1180000625,343925.07,28925.07,9.18
820000.0,47.5422,-122.132,2597530650,817418.29,-2581.71,-0.31
537500.0,47.5928,-122.004,6127011000,442662.66,-94837.34,-17.64
183500.0,47.2699,-122.255,8856003525,-5941.73,-189441.73,-103.24
616500.0,47.6886,-122.309,2887700560,555155.95,-61344.05,-9.95
425000.0,47.2069,-122.024,2220069003,543812.33,118812.33,27.96
180000.0,47.3822,-122.316,2560801222,206542.49,26542.49,14.75
