price,latitude,longitude,id,price_prediction,price_difference,price_difference_percent
734000.0,47.7221,-122.352,2916200091,552168.57,-181831.43,-24.77
230000.0,47.4977,-122.175,424000145,221853.36,-8146.64,-3.54
570000.0,47.6205,-122.3,9828702335,518901.55,-51098.45,-8.96
343000.0,47.5454,-122.192,3343300644,460743.45,117743.45,34.33
205000.0,47.2623,-122.217,4137010310,296770.29,91770.29,44.77
460000.0,47.587,-122.301,2394600157,553024.05,93024.05,20.22
228900.0,47.4789,-122.335,4337000200,305630.64,76730.64,33.52
589410.0,47.5165,-121.883,7853400220,494474.46,-94935.54,-16.11
659000.0,47.583,-122.17,924059233,671660.57,12660.57,1.92
675000.0,47.5699,-122.164,1524059027,503431.24,-171568.76,-25.42
834950.0,47.6237,-122.023,2862500060,715827.19,-119122.81,-14.27
682000.0,47.7066,-122.08,7273100026,613801.63,-68198.37,-10.0
235000.0,47.5351,-122.279,3904100035,335992.04,100992.04,42.98
1810000.0,47.6534,-122.412,5035300325,870279.47,-939720.53,-51.92
299950.0,47.5311,-122.373,3624039073,263096.57,-36853.43,-12.29
445000.0,47.5082,-122.362,8151600900,479469.03,34469.03,7.75
799950.0,47.7189,-122.225,1926059039,872351.79,72401.79,9.05
630000.0,47.3783,-122.003,2322069168,552790.38,-77209.62,-12.26
255000.0,47.3356,-122.502,5341600030,258858.17,3858.17,1.51
299950.0,47.7746,-122.378,226039186,295691.97,-4258.03,-1.42
315000.0,47.5305,-122.353,2113700360,643238.37,328238.37,104.2
725000.0,47.6816,-122.374,461002150,574853.04,-150146.96,-20.71
520000.0,47.5445,-122.383,5637500180,441293.87,-78706.13,-15.14
1210000.0,47.6889,-122.352,6430500182,830393.92,-379606.08,-31.37
295000.0,47.5677,-122.36,7547300050,301616.0,6616.0,2.24
518000.0,47.6124,-122.314,2254501342,437718.85,-80281.15,-15.5
949950.0,47.5872,-122.055,6790830060,1088658.7,138708.7,14.6
509000.0,47.7086,-122.019,8682282180,401761.34,-107238.66,-21.07
430000.0,47.7233,-122.167,6386200100,445898.39,15898.39,3.7
870000.0,47.6748,-122.049,925069134,605228.53,-264771.47,-30.43
253779.0,47.4459,-122.272,5381600110,295315.84,41536.84,16.37
1070000.0,47.5027,-122.381,6329000070,695532.62,-374467.38,-35.0
457500.0,47.5549,-122.311,7549800168,576283.32,118783.32,25.96
433000.0,47.5728,-122.125,4246000180,453795.01,20795.01,4.8
864000.0,47.6753,-122.278,3179101945,796213.97,-67786.03,-7.85
525000.0,47.4928,-122.142,2316800100,709163.25,184163.25,35.08
469950.0,47.3588,-122.163,5057100080,475474.56,5524.56,1.18
199000.0,47.4994,-122.261,3352401981,406544.5,207544.5,104.29
672500.0,47.6876,-122.384,6021501920,540351.04,-132148.96,-19.65
648000.0,47.5833,-122.028,2553300030,654646.81,6646.81,1.03
610000.0,47.4602,-122.152,8914100170,830185.25,220185.25,36.1
185000.0,47.4883,-122.248,7878400043,283589.19,98589.19,53.29
287000.0,47.4839,-122.302,6082400191,381946.0,94946.0,33.08
600000.0,47.7369,-122.049,1626069069,472271.2,-127728.8,-21.29
500000.0,47.5616,-122.275,5249802460,488930.97,-11069.03,-2.21
650000.0,47.6298,-122.321,6762700376,589982.7,-60017.3,-9.23
221347.0,47.4927,-122.248,7812801785,264446.62,43099.62,19.47
960000.0,47.5328,-122.226,3629200020,919741.73,-40258.27,-4.19
700500.0,47.7354,-122.095,1137300890,739467.25,38967.25,5.56
400000.0,47.7655,-122.244,126049217,399459.31,-540.69,-0.14
354000.0,47.3663,-122.129,4299000030,414321.58,60321.58,17.04
610000.0,47.6536,-122.354,1972200555,531176.06,-78823.94,-12.92
319000.0,47.4516,-122.267,8125200481,404664.79,85664.79,26.85
410000.0,47.5411,-122.392,4315700390,330910.16,-79089.84,-19.29
285000.0,47.2874,-122.283,1687000220,270351.26,-14648.74,-5.14
374500.0,47.7289,-122.203,8143000490,414456.98,39956.98,10.67
325000.0,47.2924,-122.357,1895450230,270774.83,-54225.17,-16.68
799000.0,47.709,-122.118,6891100330,926380.36,127380.36,15.94
800000.0,47.6678,-122.361,475000605,824404.81,24404.81,3.05
385100.0,47.7121,-122.287,3992700265,342768.53,-42331.47,-10.99
740000.0,47.723,-122.158,2621730220,1045007.4,305007.4,41.22
250000.0,47.7182,-121.956,2129700320,331108.72,81108.72,32.44
700000.0,47.3879,-122.002,1465400120,486529.05,-213470.95,-30.5
319000.0,47.3555,-122.149,6648500440,360337.78,41337.78,12.96
665000.0,47.577,-122.055,6705870040,627927.83,-37072.17,-5.57
200000.0,47.5604,-122.275,4154302075,312384.19,112384.19,56.19
1280000.0,47.6845,-122.359,1646502355,849819.11,-430180.89,-33.61
540000.0,47.719,-121.912,2126079014,436028.91,-103971.09,-19.25
199950.0,47.4934,-122.237,7657600195,261231.7,61281.7,30.65
200000.0,47.3425,-122.082,621069113,218353.09,18353.09,9.18
510000.0,47.6939,-122.34,993000046,462287.87,-47712.13,-9.36
414500.0,47.6756,-122.375,2767600688,419753.19,5253.19,1.27
497000.0,47.6765,-122.302,7169200221,528285.11,31285.11,6.29
370000.0,47.543,-122.29,3333002385,710884.73,340884.73,92.13
320000.0,47.4756,-122.157,5127000430,353425.49,33425.49,10.45
1600000.0,47.6349,-122.318,1130000005,1332528.85,-267471.15,-16.72
